train_loss,train_acc_step,epoch,step,val_loss,val_acc_epoch,val_f1_epoch,val_auroc_epoch,train_acc_epoch
0.4795759929754804,0.0,0,49,,,,,
0.5717754275287141,0.0,0,99,,,,,
,,0,124,0.3937544524467804,0.0,0.0,0.8791816830635071,
,,0,124,,,,,0.0
0.5359761020762042,0.0,1,149,,,,,
0.7772364589808207,0.0,1,199,,,,,
0.3438939842746198,0.0,1,249,,,,,
,,1,249,0.38006141268192917,0.0,0.0,0.884779691696167,
,,1,249,,,,,0.0
0.528240249328272,0.0,2,299,,,,,
0.5185092062084347,0.0,2,349,,,,,
,,2,374,0.3904932368596424,0.0,0.0,0.8865872621536255,
,,2,374,,,,,0.0
0.5324485160067063,0.0,3,399,,,,,
0.43644505841166914,0.0,3,449,,,,,
0.3873231517252412,0.0,3,499,,,,,
,,3,499,0.3859045101636599,0.0,0.0,0.8885629773139954,
,,3,499,,,,,0.0
0.5737176250007328,0.0,4,549,,,,,
0.5902756926627435,0.0,4,599,,,,,
,,4,624,0.3689210936670756,0.0,0.0,0.8907911777496338,
,,4,624,,,,,0.0
0.5750232447696655,0.0,5,649,,,,,
0.49721420417862927,0.0,5,699,,,,,
0.591012541147295,0.0,5,749,,,,,
,,5,749,0.3653309578880165,0.0,0.0,0.8920115232467651,
,,5,749,,,,,0.0
0.3736045595315146,0.0,6,799,,,,,
0.29133361851423056,0.0,6,849,,,,,
,,6,874,0.35788650819792533,0.0,0.0,0.8944991827011108,
,,6,874,,,,,0.0
0.23431182059308617,0.0,7,899,,,,,
0.27655487275747626,0.0,7,949,,,,,
0.5247906428440977,0.0,7,999,,,,,
,,7,999,0.35538110322307725,0.0,0.0,0.8966192007064819,
,,7,999,,,,,0.0
0.4485173311923534,0.0,8,1049,,,,,
0.42773921293835604,0.0,8,1099,,,,,
,,8,1124,0.3600167756042252,0.0,0.0,0.8982704877853394,
,,8,1124,,,,,0.0
0.4038004475233384,0.0,9,1149,,,,,
0.47431300724278463,0.0,9,1199,,,,,
0.21853981238698786,0.0,9,1249,,,,,
,,9,1249,0.36445566421643466,0.0,0.0,0.8996167182922363,
,,9,1249,,,,,0.0
0.2793001269063494,0.0,10,1299,,,,,
0.29746705682363095,0.0,10,1349,,,,,
,,10,1374,0.33620430536885054,0.0,0.0,0.9016504287719727,
,,10,1374,,,,,0.0
0.35770564390509463,0.0,11,1399,,,,,
0.3738516529546262,0.0,11,1449,,,,,
0.5878451383587286,0.0,11,1499,,,,,
,,11,1499,0.34590069786986943,0.0,0.0,0.9034243822097778,
,,11,1499,,,,,0.0
0.33878919951015013,0.0,12,1549,,,,,
0.57584968070976,0.0,12,1599,,,,,
,,12,1624,0.3461970726432623,0.0,0.0,0.904523491859436,
,,12,1624,,,,,0.0
0.3152677796693011,0.0,13,1649,,,,,
0.5547441204608285,0.0,13,1699,,,,,
0.24317671155806483,0.0,13,1749,,,,,
,,13,1749,0.34460492122254655,0.0,0.0,0.9056586027145386,
,,13,1749,,,,,0.0
0.2634582979513111,0.0,14,1799,,,,,
0.39811468208988643,0.0,14,1849,,,,,
,,14,1874,0.3298428934681206,0.0,0.0,0.9071614146232605,
,,14,1874,,,,,0.0
0.32005819741191743,0.0,15,1899,,,,,
0.3391564971553722,0.0,15,1949,,,,,
0.15917500702190562,0.0,15,1999,,,,,
,,15,1999,0.33615876748512735,0.0,0.0,0.9084964990615845,
,,15,1999,,,,,0.0
0.3987994803634173,0.0,16,2049,,,,,
0.27115450599893587,0.0,16,2099,,,,,
,,16,2124,0.3383812182807693,0.0,0.0,0.9095747470855713,
,,16,2124,,,,,0.0
0.3419777008312409,0.0,17,2149,,,,,
0.4253974890362435,0.0,17,2199,,,,,
0.6503391211449608,0.0,17,2249,,,,,
,,17,2249,0.31995429643019957,0.0,0.0,0.9109152555465698,
,,17,2249,,,,,0.0
0.282972281748455,0.0,18,2299,,,,,
0.23985580054084749,0.0,18,2349,,,,,
,,18,2374,0.3120499555975442,0.0,0.0,0.9123020172119141,
,,18,2374,,,,,0.0
0.444153493273481,0.0,19,2399,,,,,
0.2555651844817397,0.0,19,2449,,,,,
0.3540302520671066,0.0,19,2499,,,,,
,,19,2499,0.35584806622058,0.0,0.0,0.9127387404441833,
,,19,2499,,,,,0.0
0.2913672442685389,0.0,20,2549,,,,,
0.3294848865437536,0.0,20,2599,,,,,
,,20,2624,0.32648629391309725,0.0,0.0,0.9137887954711914,
,,20,2624,,,,,0.0
0.3405747199448652,0.0,21,2649,,,,,
0.2914184452821871,0.0,21,2699,,,,,
0.16099385308835373,0.0,21,2749,,,,,
,,21,2749,0.3165086206643295,0.0,0.0,0.9147809147834778,
,,21,2749,,,,,0.0
0.28483707475728,0.0,22,2799,,,,,
0.24354944354892027,0.0,22,2849,,,,,
,,22,2874,0.33616848074981553,0.0,0.0,0.9153391122817993,
,,22,2874,,,,,0.0
0.3580435465626769,0.0,23,2899,,,,,
0.4518643692097091,0.0,23,2949,,,,,
0.684441378067148,0.0,23,2999,,,,,
,,23,2999,0.33477760982062293,0.0,0.0,0.9160351753234863,
,,23,2999,,,,,0.0
0.4749286119245899,0.0,24,3049,,,,,
0.3894929360688424,0.0,24,3099,,,,,
,,24,3124,0.3271874721078601,0.0,0.0,0.9168037176132202,
,,24,3124,,,,,0.0
0.4802708056402406,0.0,25,3149,,,,,
0.41643228907021473,0.0,25,3199,,,,,
0.3763103318346848,0.0,25,3249,,,,,
,,25,3249,0.3338076079498537,0.0,0.0,0.917221188545227,
,,25,3249,,,,,0.0
0.21115817853670413,0.0,26,3299,,,,,
0.26083260480354087,0.0,26,3349,,,,,
,,26,3374,0.3154065158636198,0.0,0.0,0.9179590940475464,
,,26,3374,,,,,0.0
0.23819312708893187,0.0,27,3399,,,,,
0.17786548662774937,0.0,27,3449,,,,,
0.25650405740449167,0.0,27,3499,,,,,
,,27,3499,0.3340705213325737,0.0,0.0,0.9182718396186829,
,,27,3499,,,,,0.0
0.4306976559456902,0.0,28,3549,,,,,
0.4248057434297675,0.0,28,3599,,,,,
,,28,3624,0.3226508129971003,0.0,0.0,0.918816089630127,
,,28,3624,,,,,0.0
0.24689202378362396,0.0,29,3649,,,,,
0.45063853596184833,0.0,29,3699,,,,,
1.1741278704365088,0.0,29,3749,,,,,
,,29,3749,0.33049309872783184,0.0,0.0,0.9192963242530823,
,,29,3749,,,,,0.0
0.33890427210226926,0.0,30,3799,,,,,
0.3583903135335783,0.0,30,3849,,,,,
,,30,3874,0.3380981427448895,0.0,0.0,0.9194952249526978,
,,30,3874,,,,,0.0
0.17169991594955153,0.0,31,3899,,,,,
0.1816455703921662,0.0,31,3949,,,,,
0.2738650496032227,0.0,31,3999,,,,,
,,31,3999,0.3521863975145883,0.0,0.0,0.919538676738739,
,,31,3999,,,,,0.0
0.1914929414352557,0.0,32,4049,,,,,
0.3775826137437185,0.0,32,4099,,,,,
,,32,4124,0.3589444669262402,0.0,0.0,0.9194234609603882,
,,32,4124,,,,,0.0
0.32003482516494736,0.0,33,4149,,,,,
0.5538434186696288,0.0,33,4199,,,,,
0.43198808723370274,0.0,33,4249,,,,,
,,33,4249,0.3333918788164118,0.0,0.0,0.9196781516075134,
,,33,4249,,,,,0.0
0.36577322735694884,0.0,34,4299,,,,,
0.6257687008090769,0.0,34,4349,,,,,
,,34,4374,0.33287323071720815,0.0,0.0,0.9200160503387451,
,,34,4374,,,,,0.0
0.43962047697507767,0.0,35,4399,,,,,
0.420619487675306,0.0,35,4449,,,,,
0.043774716983865085,0.0,35,4499,,,,,
,,35,4499,0.3337454312608674,0.0,0.0,0.9202882647514343,
,,35,4499,,,,,0.0
0.33832418605713394,0.0,36,4549,,,,,
0.34016672679205273,0.0,36,4599,,,,,
,,36,4624,0.34379748633252644,0.0,0.0,0.9205870628356934,
,,36,4624,,,,,0.0
0.34846874127446015,0.0,37,4649,,,,,
0.33141694829050594,0.0,37,4699,,,,,
0.6674265320197961,0.0,37,4749,,,,,
,,37,4749,0.33228552024822355,0.0,0.0,0.920836329460144,
,,37,4749,,,,,0.0
0.3280721563315745,0.0,38,4799,,,,,
0.19946689079620272,0.0,38,4849,,,,,
,,38,4874,0.3233292053323702,0.0,0.0,0.9211946129798889,
,,38,4874,,,,,0.0
0.4675907993188131,0.0,39,4899,,,,,
0.2042229513356809,0.0,39,4949,,,,,
0.8498532656691955,0.0,39,4999,,,,,
,,39,4999,0.3463220458433097,0.0,0.0,0.9212666749954224,
,,39,4999,,,,,0.0
0.5206025899896798,0.0,40,5049,,,,,
0.2601216488072873,0.0,40,5099,,,,,
,,40,5124,0.3306301919211984,0.0,0.0,0.9214731454849243,
,,40,5124,,,,,0.0
0.5064286436450555,0.0,41,5149,,,,,
0.6436222380856735,0.0,41,5199,,,,,
0.2502870999480183,0.0,41,5249,,,,,
,,41,5249,0.3176419444704348,0.0,0.0,0.9218663573265076,
,,41,5249,,,,,0.0
0.4027910592863511,0.0,42,5299,,,,,
0.2694294458941181,0.0,42,5349,,,,,
,,42,5374,0.3267068618956665,0.0,0.0,0.9221351146697998,
,,42,5374,,,,,0.0
0.4006345636995782,0.0,43,5399,,,,,
0.21842851325039853,0.0,43,5449,,,,,
0.09665254875209914,0.0,43,5499,,,,,
,,43,5499,0.33806823879225123,0.0,0.0,0.9222978353500366,
,,43,5499,,,,,0.0
0.35326236136635747,0.0,44,5549,,,,,
0.2052108383290272,0.0,44,5599,,,,,
